variable,source_type,N_nonmissing,N_missing,minimum,maximum,unique_values,description_or_coding
study_id,float64,232,0,1.0,232.0,232,De-identified study ID
sex,float64,232,0,1.0,2.0,2,"Sex code: 1=Male, 2=Female"
age_years,float64,232,0,26.0,84.0,45,Age in years
residence,float64,232,0,1.0,2.0,2,"Residence: 1=Rural, 2=Urban"
smoking,float64,232,0,1.0,3.0,3,"Smoking status: 1=Current smoker, 2=Never smoker, 3=Former smoker"
alcohol_use,float64,232,0,1.0,3.0,3,"Alcohol use: 1=Current drinker, 2=Non-drinker, 3=Former drinker"
occupation,float64,232,0,1.0,4.0,4,"Occupation: 1=Employed, 2=Retired, 3=Self-employed, 4=Unemployed"
prior_diabetes_hospitalization,float64,232,0,1.0,2.0,2,"Prior diabetes hospitalization: 1=Yes, 2=No"
marital_status,float64,232,0,1.0,4.0,4,"Marital status: 1=Unmarried, 2=Married, 3=Divorced, 4=Widowed"
insulin_use,float64,232,0,1.0,2.0,2,"Insulin therapy: 1=Yes, 2=No"
living_arrangement,float64,232,0,1.0,4.0,4,"Living arrangement: 1=Living alone, 2=Living with spouse and children, 3=Living with spouse, 4=Living with children"
health_insurance,float64,232,0,1.0,1.0,1,Health insurance: 1=Yes
insurance_type,float64,232,0,2.0,5.0,4,Insurance type code in source data
education,float64,232,0,1.0,4.0,4,"Education: 1=Primary school or below, 2=Junior high school, 3=High school/technical secondary school, 4=College or above"
monthly_income_group,float64,232,0,1.0,4.0,4,"Personal monthly income: 1=<3,000 CNY, 2=3,000-4,999 CNY, 3=5,000-7,999 CNY, 4=>=8,000 CNY"
monthly_income_original,float64,232,0,1.0,6.0,6,Original monthly income group code
diabetes_duration_group,float64,232,0,1.0,5.0,5,"Diabetes duration: 1=<=5 years, 2=6-10 years, 3=11-15 years, 4=16-20 years, 5=>20 years"
complication_count_reported,float64,232,0,0.0,5.0,6,Self-reported complication count
diabetic_nephropathy,float64,232,0,1.0,2.0,2,"Questionnaire item, derived score, or QC/source variable"
cardiovascular_cerebrovascular,float64,232,0,1.0,2.0,2,"Questionnaire item, derived score, or QC/source variable"
peripheral_neuropathy,float64,232,0,1.0,2.0,2,"Questionnaire item, derived score, or QC/source variable"
diabetic_eye_complication,float64,232,0,1.0,2.0,2,"Questionnaire item, derived score, or QC/source variable"
diabetic_foot,float64,232,0,1.0,2.0,2,"Questionnaire item, derived score, or QC/source variable"
med1,float64,232,0,1.0,3.0,3,"Questionnaire item, derived score, or QC/source variable"
med2,float64,232,0,1.0,3.0,3,"Questionnaire item, derived score, or QC/source variable"
med3,float64,232,0,1.0,3.0,3,"Questionnaire item, derived score, or QC/source variable"
med4,float64,232,0,1.0,3.0,3,"Questionnaire item, derived score, or QC/source variable"
diet1,float64,232,0,1.0,3.0,3,"Questionnaire item, derived score, or QC/source variable"
diet2,float64,232,0,1.0,3.0,3,"Questionnaire item, derived score, or QC/source variable"
diet3,float64,232,0,1.0,3.0,3,"Questionnaire item, derived score, or QC/source variable"
diet4,float64,232,0,1.0,3.0,3,"Questionnaire item, derived score, or QC/source variable"
exercise1,float64,232,0,1.0,3.0,3,"Questionnaire item, derived score, or QC/source variable"
exercise2,float64,232,0,1.0,3.0,3,"Questionnaire item, derived score, or QC/source variable"
exercise3,float64,232,0,1.0,3.0,3,"Questionnaire item, derived score, or QC/source variable"
exercise4,float64,232,0,1.0,3.0,3,"Questionnaire item, derived score, or QC/source variable"
monitor1,float64,232,0,1.0,3.0,3,"Questionnaire item, derived score, or QC/source variable"
monitor2,float64,232,0,1.0,3.0,3,"Questionnaire item, derived score, or QC/source variable"
monitor3,float64,232,0,1.0,3.0,3,"Questionnaire item, derived score, or QC/source variable"
monitor4,float64,232,0,1.0,3.0,3,"Questionnaire item, derived score, or QC/source variable"
followup1,float64,232,0,1.0,3.0,3,"Questionnaire item, derived score, or QC/source variable"
followup2,float64,232,0,1.0,3.0,3,"Questionnaire item, derived score, or QC/source variable"
followup3,float64,232,0,1.0,3.0,3,"Questionnaire item, derived score, or QC/source variable"
followup4,float64,232,0,1.0,3.0,3,"Questionnaire item, derived score, or QC/source variable"
RH1,float64,232,0,1.0,5.0,5,"Questionnaire item, derived score, or QC/source variable"
