"instrument","model","factor","op","item","estimate","SE","z","p_value","CI_lower","CI_upper","standardized_loading"
"Behavioral economics questionnaire","Six-factor model","Representativeness","=~","RH1",1.59936633174016,0.201944364959015,7.91983639684504,0.00000000000000244249065417534,1.20356264953968,1.99517001394064,0.84790392562731
"Behavioral economics questionnaire","Six-factor model","Representativeness","=~","RH2",1.44295593972396,0.172370198674204,8.37126110442837,0,1.1051165583145,1.78079532113341,0.821917388515083
"Behavioral economics questionnaire","Six-factor model","Representativeness","=~","RH3",1.33027161315832,0.165002381173211,8.06213585343273,0.000000000000000666133814775094,1.00687288869547,1.65367033762116,0.799337208119431
"Behavioral economics questionnaire","Six-factor model","Availability","=~","AH1",1.40792802224133,0.1543437024127,9.12203089748791,0,1.10541992427187,1.71043612021079,0.815281533170911
"Behavioral economics questionnaire","Six-factor model","Availability","=~","AH2",2.52297308687047,0.388166815185085,6.49971349474445,0.0000000000804731836723249,1.76218010911409,3.28376606462685,0.929639673854287
"Behavioral economics questionnaire","Six-factor model","Availability","=~","AH3",1.49622217077451,0.16461604062822,9.08916388138435,0,1.17358065986562,1.81886368168341,0.831403815958112
"Behavioral economics questionnaire","Six-factor model","Overconfidence","=~","OC1",2.27332250504746,0.369845213088186,6.14668630172432,0.000000000791183785153748,1.54843920754008,2.99820580255485,0.915353902320187
"Behavioral economics questionnaire","Six-factor model","Overconfidence","=~","OC2",1.98259128317554,0.290110884837181,6.83390864251176,0.00000000000826316792768012,1.41398439737162,2.55119816897946,0.892853701297792
"Behavioral economics questionnaire","Six-factor model","Overconfidence","=~","OC3",1.11674806599244,0.118694672413335,9.40857785178038,0,0.884110782905518,1.34938534907935,0.744974612909845
"Behavioral economics questionnaire","Six-factor model","TimePreference","=~","TP1",1.82183211089188,0.190736513375906,9.55156450459692,0,1.44799541413836,2.19566880764539,0.876623519569994
"Behavioral economics questionnaire","Six-factor model","TimePreference","=~","TP2",2.55617700788484,0.32771177823174,7.80007670666401,0.00000000000000621724893790088,1.91387372524105,3.19848029052863,0.931272840692439
"Behavioral economics questionnaire","Six-factor model","TimePreference","=~","TP3",2.48091748356699,0.355875219687771,6.97131282628681,0.00000000000313993275824487,1.78341486998868,3.1784200971453,0.927489433838099
"Behavioral economics questionnaire","Six-factor model","SocialPreference","=~","SP1",0.918313573640421,0.122613484002489,7.48949906375533,0.0000000000000690558721316847,0.677995560976564,1.15863158630428,0.676383513592398
"Behavioral economics questionnaire","Six-factor model","SocialPreference","=~","SP2",1.77818804294138,0.276367068529272,6.43415314423774,0.000000000124163568315794,1.2365185421111,2.31985754377167,0.87162386894201
"Behavioral economics questionnaire","Six-factor model","SocialPreference","=~","SP3",1.81415790174548,0.30465695517206,5.95475622974342,0.00000000260459764866994,1.21704124196861,2.41127456152235,0.875764387384771
"Behavioral economics questionnaire","Six-factor model","RiskPreference","=~","RP1",1.61291098318279,0.552535022061387,2.91911085955306,0.0035103136279,0.529962239745423,2.69585972662015,0.84990382671086
"Behavioral economics questionnaire","Six-factor model","RiskPreference","=~","RP2",3.90982227956935,5.61091372867523,0.696824522463739,0.485912617507003,-7.08736654899544,14.9070111081341,0.96881383464656
