"instrument","model","factor","op","item","estimate","SE","z","p_value","CI_lower","CI_upper","standardized_loading"
"Treatment adherence questionnaire","Five-factor model","Medication","=~","med1",0.963152839736114,0.16164783755835,5.95834039158392,0.00000000254812348998712,0.646328899942967,1.27997677952926,0.693712642693702
"Treatment adherence questionnaire","Five-factor model","Medication","=~","med2",1.86215070233519,0.431041013232434,4.32012417651554,0.0000155941425046269,1.01732584053997,2.70697556413042,0.881003085507889
"Treatment adherence questionnaire","Five-factor model","Medication","=~","med3",1.36598106512688,0.191785912001598,7.12242651647687,0.00000000000106048503312195,0.990087584861583,1.74187454539218,0.806889082826933
"Treatment adherence questionnaire","Five-factor model","Medication","=~","med4",0.771023856056535,0.120940863720739,6.37521373947587,0.000000000182707848850328,0.53398411890472,1.00806359320835,0.610602501288474
"Treatment adherence questionnaire","Five-factor model","Diet","=~","diet1",1.28536958726125,0.20316324775464,6.32678204088169,0.000000000250326648298937,0.887176938679968,1.68356223584253,0.78927243127325
"Treatment adherence questionnaire","Five-factor model","Diet","=~","diet2",0.698191248446603,0.117835889523881,5.92511544036087,0.00000000312078074493627,0.467237148893556,0.92914534799965,0.572466588137554
"Treatment adherence questionnaire","Five-factor model","Diet","=~","diet3",1.1340024224611,0.171818189873385,6.60001378955722,0.0000000000411120026910794,0.797244958420401,1.4707598865018,0.750031540751599
"Treatment adherence questionnaire","Five-factor model","Diet","=~","diet4",0.704246495154133,0.131975980815016,5.33617170946614,0.0000000949295084762269,0.445578325932354,0.962914664375913,0.575790174893912
"Treatment adherence questionnaire","Five-factor model","Exercise","=~","exercise1",1.48662082399691,0.281107105527793,5.2884498284229,0.00000012335731369717,0.935661021364139,2.03758062662969,0.829745470147378
"Treatment adherence questionnaire","Five-factor model","Exercise","=~","exercise2",1.08705751562885,0.162268474048517,6.69912946432115,0.0000000000209665618200461,0.769017150667488,1.40509788059022,0.735962354512843
"Treatment adherence questionnaire","Five-factor model","Exercise","=~","exercise3",1.44410809936829,0.246909546257875,5.8487333570329,0.00000000495330376715231,0.960174281263728,1.92804191747285,0.822130146879407
"Treatment adherence questionnaire","Five-factor model","Exercise","=~","exercise4",1.67097921952975,0.307246445437866,5.43856322616976,0.0000000537119493326799,1.06878725209358,2.27317118696592,0.858078580207984
"Treatment adherence questionnaire","Five-factor model","Monitoring","=~","monitor1",1.91463469920051,0.312276711403112,6.13121193251246,0.000000000872121264094972,1.3025835916398,2.52668580676122,0.886383482562651
"Treatment adherence questionnaire","Five-factor model","Monitoring","=~","monitor2",1.37201189139789,0.207228657402826,6.62076330847852,0.0000000000357349705382148,0.965851186323766,1.77817259647202,0.80812677862981
"Treatment adherence questionnaire","Five-factor model","Monitoring","=~","monitor3",2.63046771337501,0.693368398168843,3.79375195108684,0.000148387914649994,1.27149062494585,3.98944480180417,0.934733746105525
"Treatment adherence questionnaire","Five-factor model","Monitoring","=~","monitor4",1.27642578424667,0.175971816461403,7.25358077170634,0.000000000000405897537802957,0.931527361688228,1.62132420680511,0.787188192996897
"Treatment adherence questionnaire","Five-factor model","Followup","=~","followup1",2.22647458620402,0.309469618123151,7.19448519601692,0.000000000000627053964308288,1.61992528037328,2.83302389203476,0.912214665059599
"Treatment adherence questionnaire","Five-factor model","Followup","=~","followup2",1.81009739278187,0.270806755322252,6.68409246522641,0.0000000000232360797269848,1.27932590558011,2.34086887998364,0.875306418174962
"Treatment adherence questionnaire","Five-factor model","Followup","=~","followup3",1.8329679945588,0.234288530803716,7.82354982666409,0.00000000000000510702591327572,1.37377091219271,2.29216507692488,0.877855449295434
"Treatment adherence questionnaire","Five-factor model","Followup","=~","followup4",3.55848250249743,1.04672271454858,3.39964199977459,0.000674741337982399,1.50694368018221,5.61002132481265,0.962708963425575
