"instrument","model","factor","op","item","estimate","SE","z","p_value","CI_lower","CI_upper","standardized_loading"
"Treatment adherence questionnaire","One-factor model","GeneralAdherence","=~","med1",0.71343362033706,0.0930960542414468,7.66341416024737,0.0000000000000182076576038526,0.530968706921037,0.895898533753083,0.580778787831764
"Treatment adherence questionnaire","One-factor model","GeneralAdherence","=~","med2",1.12374305587735,0.153369006807733,7.3270543981947,0.000000000000235367281220533,0.823145326189516,1.42434078556518,0.747040391548216
"Treatment adherence questionnaire","One-factor model","GeneralAdherence","=~","med3",0.947255006177314,0.110973719137223,8.53584987095907,0,0.729750513437893,1.16475949891673,0.687701253694084
"Treatment adherence questionnaire","One-factor model","GeneralAdherence","=~","med4",0.590703826257616,0.09184410241832,6.43159234729251,0.000000000126274102285606,0.410692693325301,0.770714959189931,0.508598312215712
"Treatment adherence questionnaire","One-factor model","GeneralAdherence","=~","diet1",0.747785264686805,0.0960091747450518,7.78868547378431,0.00000000000000666133814775094,0.559610740001091,0.935959789372519,0.598864245898342
"Treatment adherence questionnaire","One-factor model","GeneralAdherence","=~","diet2",0.499253604646593,0.08020727671147,6.22454252427196,0.000000000482963224968103,0.342050230994074,0.656456978299112,0.446679279280998
"Treatment adherence questionnaire","One-factor model","GeneralAdherence","=~","diet3",0.707368909302455,0.0925570863340402,7.64251487724611,0.000000000000021316282072803,0.525960353573772,0.888777465031138,0.577492927218473
"Treatment adherence questionnaire","One-factor model","GeneralAdherence","=~","diet4",0.507112315726732,0.0833503150660381,6.0841079643784,0.00000000117141651934105,0.343748700097231,0.670475931356233,0.45228103752167
"Treatment adherence questionnaire","One-factor model","GeneralAdherence","=~","exercise1",0.775748998587279,0.0994567708247137,7.79986110703803,0.00000000000000621724893790088,0.580817309752186,0.970680687422372,0.612941332159998
"Treatment adherence questionnaire","One-factor model","GeneralAdherence","=~","exercise2",0.6537947062749,0.0868830185626569,7.52499990321361,0.0000000000000526245713672324,0.483507119023967,0.824082293525832,0.547219197567868
"Treatment adherence questionnaire","One-factor model","GeneralAdherence","=~","exercise3",0.784741235230016,0.0992306531257357,7.90825425925259,0.00000000000000266453525910038,0.590252728941187,0.979229741518845,0.617348140721796
"Treatment adherence questionnaire","One-factor model","GeneralAdherence","=~","exercise4",0.861166591016834,0.105937639643789,8.12899545348064,0.000000000000000444089209850063,0.653532632707824,1.06880054932584,0.65254727484526
"Treatment adherence questionnaire","One-factor model","GeneralAdherence","=~","monitor1",1.29121952005358,0.142988347827889,9.03024295103951,0,1.01096750810204,1.57147153200513,0.790621091897176
"Treatment adherence questionnaire","One-factor model","GeneralAdherence","=~","monitor2",0.970931801729031,0.110881148348096,8.7565092551254,0,0.753608744402321,1.18825485905574,0.696602291629459
"Treatment adherence questionnaire","One-factor model","GeneralAdherence","=~","monitor3",1.37683404713616,0.150340726346231,9.15809096176207,0,1.08217163808796,1.67149645618437,0.809108780308595
"Treatment adherence questionnaire","One-factor model","GeneralAdherence","=~","monitor4",0.929756608318597,0.103982271412215,8.94149161863159,0,0.725955101319986,1.13355811531721,0.680917054496194
"Treatment adherence questionnaire","One-factor model","GeneralAdherence","=~","followup1",1.73990526812041,0.179824444199034,9.67557706556643,0,1.38745583395037,2.09235470229045,0.867002223291294
"Treatment adherence questionnaire","One-factor model","GeneralAdherence","=~","followup2",1.46211240436511,0.174098326707415,8.3981990638101,0,1.12088595424989,1.80333885448033,0.8254105637084
"Treatment adherence questionnaire","One-factor model","GeneralAdherence","=~","followup3",1.43796169127132,0.147108204613448,9.77485718794415,0,1.14963490839862,1.72628847414403,0.820991155795788
"Treatment adherence questionnaire","One-factor model","GeneralAdherence","=~","followup4",2.00476849466211,0.243417670064617,8.23592015374206,0.000000000000000222044604925031,1.52767862813481,2.48185836118941,0.894852480753773
