"term","variable","category_or_unit","B","HC3_SE","statistic","p_value","p_display","HC3_CI_lower","HC3_CI_upper"
"(Intercept)","Intercept","",45.7007955580877,4.60082168574664,9.93318121840472,0.000000000000000000272090989423951,"<0.001",36.6833507547334,54.7182403614419
"representativeness_mean","Representativeness bias","Per 1-point increase in mean score (1-5)",-0.742098658816525,0.463964728610195,-1.59947214315079,0.111226314915672,"0.111",-1.65145281698941,0.167255499356357
"availability_mean","Availability bias","Per 1-point increase in mean score (1-5)",-0.9849591551687,0.484076776562931,-2.03471681116818,0.0431422116970056,"0.043",-1.93373220298429,-0.0361861073531122
"overconfidence_mean","Overconfidence","Per 1-point increase in mean score (1-5)",-1.07110071278726,0.505568577226127,-2.11860618130978,0.0353046266240552,"0.035",-2.06199691586563,-0.0802045097088993
"time_preference_mean","Time preference","Per 1-point increase in mean score (1-5)",-2.39529482091565,0.475022723571702,-5.04248471084792,0.000000994786231107164,"<0.001",-3.32632225095431,-1.46426739087698
"social_preference_mean","Social preference","Per 1-point increase in mean score (1-5)",1.69004889369385,0.47552322556312,3.55408275104224,0.000468926368018105,"<0.001",0.758040497777823,2.62205728960989
"risk_preference_mean","Risk preference","Per 1-point increase in mean score (1-5)",-0.0823212929351006,0.206664182053946,-0.398333625676906,0.690790896951891,"0.691",-0.487375646655265,0.322733060785063
"age_group_trend","Age group","Per one-category increase (1-3)",1.35967921578516,0.882959259112118,1.53991161172309,0.125094540606434,"0.125",-0.370889131890756,3.09024756346108
"residence_fUrban","Urban residence","Reference: rural residence",0.486833494029006,0.938324163821785,0.518832950060817,0.604426153451978,"0.604",-1.35224807288535,2.32591506094337
"smoking_fNever smoker","Never smoker","Reference: current smoker",-0.464157549202942,0.818180668305879,-0.567304468539967,0.571116173545296,"0.571",-2.06776219192938,1.13944709352349
"smoking_fFormer smoker","Former smoker","Reference: current smoker",0.376004902411792,1.10898345323891,0.339053663346941,0.73490972181946,"0.735",-1.79756272538732,2.5495725302109
"alcohol_fNon-drinker","Non-drinker","Reference: current drinker",0.393052001356705,0.892130822948841,0.440576641055304,0.65997486308859,"0.660",-1.3554922811211,2.14159628383451
"alcohol_fFormer drinker","Former drinker","Reference: current drinker",-1.38109638913707,1.2105944286006,-1.14084152091594,0.255241438617405,"0.255",-3.75381786907909,0.991625090804954
"occupation_fEmployed","Employed","Reference: retired",-3.9852412082273,1.30082976617556,-3.06361471105009,0.00247465955556366,"0.002",-6.53482069994906,-1.43566171650554
"occupation_fSelf-employed","Self-employed","Reference: retired",-3.82852741348787,1.24906648102177,-3.06511100222307,0.00246284841836468,"0.002",-6.27665273058672,-1.38040209638903
"occupation_fUnemployed","Unemployed","Reference: retired",-1.56865151800346,1.24726865843046,-1.25766931398519,0.209914792032169,"0.210",-4.01325316757276,0.875950131565833
"living_fLiving with spouse and children","Living with spouse and children","Reference: living alone",2.02325535935149,1.67614528130733,1.2070883007071,0.228762510112606,"0.229",-1.26192902486764,5.30843974357062
"living_fLiving with spouse","Living with spouse","Reference: living alone",2.24123423594508,1.73130010418023,1.29453826666654,0.196907984392181,"0.197",-1.15205161467863,5.63452008656878
"living_fLiving with children","Living with children","Reference: living alone",0.916850488824017,2.99318629219705,0.306312537650649,0.759671618466938,"0.760",-4.94968684290118,6.78338782054922
"education_trend","Education","Per one-category increase (1-4)",-0.0434216221618484,0.390859233716466,-0.111092737272639,0.911649419157807,"0.912",-0.809491643271045,0.722648398947348
"income_trend","Personal monthly income","Per one-category increase (1-4)",1.28213402323741,0.378063229965233,3.39132166689502,0.000831694243838034,"<0.001",0.54114370862667,2.02312433784815
"insulin_fNo","No insulin therapy","Reference: insulin therapy",-1.02246140202564,0.657156470779495,-1.55588729243255,0.121247846723644,"0.121",-2.31046441696089,0.265541612909623
"duration_trend","Diabetes duration","Per one-category increase (1-5)",-0.396288104308483,0.273448915002762,-1.44922171040423,0.148774455493853,"0.149",-0.932238129325451,0.139661920708486
