"term","VIF","variable"
"representativeness_mean",1.93575326893672,"Representativeness bias"
"availability_mean",2.35238646055973,"Availability bias"
"overconfidence_mean",2.3038085293723,"Overconfidence"
"time_preference_mean",3.54561364187908,"Time preference"
"social_preference_mean",1.92186534686914,"Social preference"
"risk_preference_mean",1.12555135086676,"Risk preference"
"age_group_trend",2.58522963763567,"Age group"
"smoking_fNever smoker",2.17373077511731,"Never smoker"
"smoking_fFormer smoker",1.42187347300022,"Former smoker"
"alcohol_fNon-drinker",2.23333420850659,"Non-drinker"
"alcohol_fFormer drinker",1.46600321576144,"Former drinker"
"occupation_fEmployed",2.328109309944,"Employed"
"occupation_fSelf-employed",2.20204234898595,"Self-employed"
"occupation_fUnemployed",1.7567613804403,"Unemployed"
"living_fLiving with spouse and children",4.60136726493645,"Living with spouse and children"
"living_fLiving with spouse",4.49623443785706,"Living with spouse"
"living_fLiving with children",1.66981919967448,"Living with children"
"education_trend",1.81338442613303,"Education"
"income_trend",1.82166301390457,"Personal monthly income"
"insulin_fNo",1.18459631718037,"No insulin therapy"
"duration_trend",1.57712494384344,"Diabetes duration"
