"term","variable","Df","GVIF","GVIF_adjusted","model_matrix_columns"
"representativeness_mean","Representativeness bias",1,2.00517463488553,1.41604189022978,"representativeness_mean"
"availability_mean","Availability bias",1,2.44401154929623,1.56333347347782,"availability_mean"
"overconfidence_mean","Overconfidence",1,2.37744686584809,1.54189716448539,"overconfidence_mean"
"time_preference_mean","Time preference",1,3.87749883738038,1.96913657154103,"time_preference_mean"
"social_preference_mean","Social preference",1,1.99098385626747,1.41102227348383,"social_preference_mean"
"risk_preference_mean","Risk preference",1,1.17389084394041,1.08346243310066,"risk_preference_mean"
"age_group_f","Age group",2,4.25758016174178,1.43645064414025,"age_group_f45-59 years; age_group_f>=60 years"
"residence_f","Residence",1,1.86861435826188,1.36697269843325,"residence_fUrban"
"smoking_f","Smoking status",2,2.2047813827093,1.21854447042208,"smoking_fNever smoker; smoking_fFormer smoker"
"alcohol_f","Alcohol use",2,2.39851085084951,1.24447283742331,"alcohol_fNon-drinker; alcohol_fFormer drinker"
"occupation_f","Occupation",3,5.75595691388699,1.33870922383378,"occupation_fEmployed; occupation_fSelf-employed; occupation_fUnemployed"
"living_f","Living arrangement",3,2.02877283648676,1.12513742381976,"living_fLiving with spouse and children; living_fLiving with spouse; living_fLiving with children"
"education_f","Education",3,3.03072133996178,1.20297795226501,"education_fJunior high school; education_fHigh school/technical secondary school; education_fCollege or above"
"income_f","Personal monthly income",3,3.38417918184266,1.22529941149258,"income_f3000-4999; income_f5000-7999; income_f>=8000"
"insulin_f","Insulin therapy",1,1.20951257348783,1.09977842017737,"insulin_fNo"
"duration_f","Diabetes duration",4,3.18765624677835,1.15593638791977,"duration_f6-10 years; duration_f11-15 years; duration_f16-20 years; duration_f>20 years"
