"term","variable","category_or_unit","B","SE","standardized_beta","CI_lower","CI_upper","p_value","p_display","VIF"
"(Intercept)","Intercept","",46.1767868119361,3.46626476685909,,39.3418794024785,53.0116942213936,0.0000000000000000000000000000195413172925256,"<0.001",
"representativeness_mean","Representativeness bias","Per 1-point increase in mean score (1-5)",-0.785726239096521,0.404931431555085,-0.0893281255330663,-1.58418481857947,0.0127323403864249,0.0537308003607023,"0.054",2.00517463488554
"availability_mean","Availability bias","Per 1-point increase in mean score (1-5)",-0.884617459604909,0.446884755196243,-0.100608331367422,-1.76580113422424,-0.00343378498557745,0.0491223185100511,"0.049",2.44401154929623
"overconfidence_mean","Overconfidence","Per 1-point increase in mean score (1-5)",-1.10064165218313,0.408474073847653,-0.135070096173831,-1.90608574306902,-0.295197561297237,0.00764536786186632,"0.008",2.37744686584808
"time_preference_mean","Time preference","Per 1-point increase in mean score (1-5)",-2.23764999399392,0.43908141746487,-0.326246070275685,-3.1034467623998,-1.37185322558804,0.000000796949612328979,"<0.001",3.87749883738036
"social_preference_mean","Social preference","Per 1-point increase in mean score (1-5)",1.84649485668131,0.435895531399844,0.194321970960951,0.986980134724891,2.70600957863773,0.0000346176202785271,"<0.001",1.99098385626748
"risk_preference_mean","Risk preference","Per 1-point increase in mean score (1-5)",0.0062470731088211,0.197534814958977,0.00111395885020675,-0.383259286387294,0.395753432604936,0.974802347259064,"0.975",1.17389084394041
"age_group_f45-59 years","Age group: 45-59 years","Reference: <45 years",1.48041378912318,1.70754884393157,0.0818421096655559,-1.88659335845083,4.8474209366972,0.386985776232183,"0.387",8.43119152639199
"age_group_f>=60 years","Age group: >=60 years","Reference: <45 years",3.39183008095832,1.8947731160376,0.191857758883515,-0.344352721309653,7.12801288322629,0.0749433037805444,"0.075",10.8682666069756
"residence_fUrban","Urban residence","Reference: rural residence",0.371458755091497,0.926448057470508,0.0178185236039845,-1.45534534626413,2.19826285644713,0.688883298574497,"0.689",1.86861435826188
"smoking_fNever smoker","Never smoker","Reference: current smoker",0.220496325068754,0.913082786885009,0.0120556695837739,-1.5799536478234,2.02094629796091,0.809424967247587,"0.809",2.35806389698416
"smoking_fFormer smoker","Former smoker","Reference: current smoker",0.614488297269813,1.14421254000635,0.0211238887110868,-1.64171176063001,2.87068835516963,0.591833723988476,"0.592",1.46382517229885
