"variable","raw_variable","category","n","mean","SD","mean_SD","test","statistic","numerator_df","denominator_df","p_value","p_display","selected_p_lt_0_05","included_in_fixed_main_model"
"Sex","sex","Male",130,42.7615384615385,8.90414401054502,"42.76 ± 8.90","Welch independent-samples t test",-1.5756480099597,222.336623351061,,0.116528742627439,"0.117","No","No"
"Sex","sex","Female",102,44.5588235294118,8.39680930609986,"44.56 ± 8.40","",,,,,"","",""
"Age group","age_group","<45 years",11,37.8181818181818,7.49424021256567,"37.82 ± 7.49","Welch one-way ANOVA",19.0517341994156,2,27.9640795255527,0.00000601559919558946,"<0.001","Yes","Yes"
"Age group","age_group","45-59 years",84,39.8809523809524,8.00663092949079,"39.88 ± 8.01","",,,,,"","",""
"Age group","age_group",">=60 years",137,46.2627737226277,8.20264490431978,"46.26 ± 8.20","",,,,,"","",""
"Residence","residence","Rural",52,38.8846153846154,7.52161290106611,"38.88 ± 7.52","Welch independent-samples t test",-4.91598139156584,92.8486526483634,,0.00000379421934179017,"<0.001","Yes","Yes"
"Residence","residence","Urban",180,44.9,8.58353627429086,"44.90 ± 8.58","",,,,,"","",""
"Smoking status","smoking","Current smoker",57,41.0701754385965,9.03141273777809,"41.07 ± 9.03","Welch one-way ANOVA",3.27846849063148,2,56.6066467536045,0.044955275712386,"0.045","Yes","Yes"
"Smoking status","smoking","Never smoker",152,44.5789473684211,8.55409457417713,"44.58 ± 8.55","",,,,,"","",""
"Smoking status","smoking","Former smoker",23,42.9130434782609,7.96533993726605,"42.91 ± 7.97","",,,,,"","",""
"Alcohol use","alcohol_use","Current drinker",56,39.5892857142857,7.56012694870394,"39.59 ± 7.56","Welch one-way ANOVA",9.26977114335699,2,49.1164671180857,0.000384113105759559,"<0.001","Yes","Yes"
"Alcohol use","alcohol_use","Non-drinker",156,44.8397435897436,8.73147572412169,"44.84 ± 8.73","",,,,,"","",""
"Alcohol use","alcohol_use","Former drinker",20,44.6,8.62310238468975,"44.60 ± 8.62","",,,,,"","",""
"Occupation","occupation","Employed",36,38.2222222222222,6.76170355166765,"38.22 ± 6.76","Welch one-way ANOVA",34.0079749683913,3,76.5727810886752,0.0000000000000445659361579522,"<0.001","Yes","Yes"
"Occupation","occupation","Retired",124,48.0806451612903,6.97801049545584,"48.08 ± 6.98","",,,,,"","",""
"Occupation","occupation","Self-employed",40,38.725,7.85113906483541,"38.73 ± 7.85","",,,,,"","",""
"Occupation","occupation","Unemployed",32,38.03125,8.16556252136511,"38.03 ± 8.17","",,,,,"","",""
"Prior diabetes hospitalization","prior_diabetes_hospitalization","Yes",175,43.7885714285714,8.24174164959805,"43.79 ± 8.24","Welch independent-samples t test",0.655047446528926,81.8689741530325,,0.514273536565004,"0.514","No","No"
"Prior diabetes hospitalization","prior_diabetes_hospitalization","No",57,42.8245614035088,10.0660724483952,"42.82 ± 10.07","",,,,,"","",""
"Marital status","marital_status","Unmarried",7,37.5714285714286,6.75418741367514,"37.57 ± 6.75","Welch one-way ANOVA",1.83579303831288,3,3.92288830855199,0.283033084442159,"0.283","No","No"
"Marital status","marital_status","Married",215,43.9162790697674,8.68893727390143,"43.92 ± 8.69","",,,,,"","",""
"Marital status","marital_status","Divorced",2,40,11.3137084989848,"40.00 ± 11.31","",,,,,"","",""
"Marital status","marital_status","Widowed",8,39.875,8.9672021436853,"39.88 ± 8.97","",,,,,"","",""
"Insulin therapy","insulin_use","Yes",97,46.6185567010309,7.92864440253538,"46.62 ± 7.93","Welch independent-samples t test",4.81716048513202,216.319759298534,,0.00000273737263187103,"<0.001","Yes","Yes"
