"term","variable","category_or_unit","B","SE","standardized_beta","CI_lower","CI_upper","p_value","p_display","VIF"
"(Intercept)","Intercept","",45.9815416495067,3.7760015332752,,38.5378162076365,53.425267091377,0.0000000000000000000000000369660892825326,"<0.001",
"representativeness_mean","Representativeness bias","Per 1-point increase in mean score (1-5)",-0.73303668779778,0.400738173199973,-0.0833379235791302,-1.52302178422593,0.0569484086303661,0.0687853667401631,"0.069",1.93575326893672
"availability_mean","Availability bias","Per 1-point increase in mean score (1-5)",-0.993820369625021,0.441599500934584,-0.113028075561141,-1.86435641450125,-0.123284324748795,0.025453456648276,"0.025",2.35238646055973
"overconfidence_mean","Overconfidence","Per 1-point increase in mean score (1-5)",-1.0847537673825,0.405007069093027,-0.13312034429613,-1.88315424412439,-0.286353290640597,0.0079839653239792,"0.008",2.3038085293723
"time_preference_mean","Time preference","Per 1-point increase in mean score (1-5)",-2.36923593179876,0.422907366375328,-0.345431106017466,-3.20292370837968,-1.53554815521783,0.0000000659060758701825,"<0.001",3.54561364187908
"social_preference_mean","Social preference","Per 1-point increase in mean score (1-5)",1.69449293143429,0.431360477511076,0.178325547468633,0.844141327291422,2.54484453557716,0.00011607895394006,"<0.001",1.92186534686914
"risk_preference_mean","Risk preference","Per 1-point increase in mean score (1-5)",-0.0834742458780466,0.194824143090869,-0.0148848706170707,-0.467535909475463,0.30058741771937,0.668755785781561,"0.669",1.12555135086676
"age_group_trend","Age group","Per one-category increase (1-3)",1.33003606046799,0.7815615742795,0.0895988545643105,-0.210675648355473,2.87074776929146,0.0902788981773732,"0.090",2.58522963763567
"smoking_fNever smoker","Never smoker","Reference: current smoker",-0.443641413662276,0.883009902203874,-0.0242561607098124,-2.18434072655614,1.29705789923159,0.615898882774984,"0.616",2.17373077511731
"smoking_fFormer smoker","Former smoker","Reference: current smoker",0.367151632566391,1.13585501326822,0.0126213473240823,-1.87198751661897,2.60629078175175,0.74683655941496,"0.747",1.42187347300022
"alcohol_fNon-drinker","Non-drinker","Reference: current drinker",0.479143506123904,0.906436213780972,0.0258677047438481,-1.30773667559614,2.26602368784395,0.597640156453629,"0.598",2.23333420850659
"alcohol_fFormer drinker","Former drinker","Reference: current drinker",-1.27920870481437,1.22804425423083,-0.0412997599874037,-3.70008279037962,1.14166538075087,0.298765508680901,"0.299",1.46600321576144
"occupation_fEmployed","Employed","Reference: retired",-4.15643138982064,1.19964260718142,-0.173110374329721,-6.52131660438843,-1.79154617525284,0.000643365880161058,"<0.001",2.328109309944
"occupation_fSelf-employed","Self-employed","Reference: retired",-3.95697112990571,1.11830871079313,-0.171935947032781,-6.16152081799219,-1.75242144181924,0.000495599173863223,"<0.001",2.20204234898595
"occupation_fUnemployed","Unemployed","Reference: retired",-1.76392442655737,1.09419792058207,-0.0699669841820638,-3.92094391611611,0.393095063001365,0.10844839794803,"0.108",1.7567613804403
"living_fLiving with spouse and children","Living with spouse and children","Reference: living alone",1.96061110646991,1.26133168689597,0.109183818619362,-0.525883320411553,4.44710553335136,0.121595325462013,"0.122",4.60136726493645
"living_fLiving with spouse","Living with spouse","Reference: living alone",2.12810833701039,1.36406056198523,0.108327128698679,-0.560898068316535,4.81711474233731,0.120235492057466,"0.120",4.49623443785706
"living_fLiving with children","Living with children","Reference: living alone",0.893050251963811,2.01602172009238,0.0187442510974143,-3.08118334857137,4.86728385249899,0.658238703265211,"0.658",1.66981919967448
"education_trend","Education","Per one-category increase (1-4)",-0.022998217744941,0.380985152614914,-0.00266185104411694,-0.774043694952315,0.728047259462433,0.951922239589717,"0.952",1.81338442613303
"income_trend","Personal monthly income","Per one-category increase (1-4)",1.3462449372228,0.367928094442871,0.161714078359291,0.620939162516794,2.07155071192881,0.000320256858699713,"<0.001",1.82166301390457
"insulin_fNo","No insulin therapy","Reference: insulin therapy",-1.033443704284,0.628147914140746,-0.0586357883684011,-2.27172726125374,0.204839852685732,0.101419680643689,"0.101",1.18459631718037
"duration_trend","Diabetes duration","Per one-category increase (1-5)",-0.397021784926556,0.267143303197014,-0.0611161198481062,-0.92364800186775,0.129604432014637,0.13873249818189,"0.139",1.57712494384344
