"term","variable","category_or_unit","B_log_odds","SE","adjusted_OR","CI_lower","CI_upper","z_value","p_value","p_display","VIF"
"(Intercept)","Intercept","",-0.454755544336471,2.3722811472573,0.634603081305604,0.00607033701421724,66.34245674653,-0.191695467825234,0.847980756303124,"0.848",
"representativeness_mean","Representativeness bias","Per 1-point increase in mean score (1-5)",0.113135375992794,0.410604046674196,1.11978351449309,0.50075727947628,2.50403772590569,0.275534001452656,0.782906006971173,"0.783",1.79426772702841
"availability_mean","Availability bias","Per 1-point increase in mean score (1-5)",-0.771551711612801,0.377696706158019,0.462295162691543,0.220507481985931,0.969204380383045,-2.04278114961903,0.0410741074081733,"0.041",2.03236640977647
"overconfidence_mean","Overconfidence","Per 1-point increase in mean score (1-5)",-0.678620039117877,0.304708007221652,0.507316586592587,0.279197249620108,0.921821828052197,-2.2271158717015,0.0259395307175285,"0.026",1.97150203424175
"time_preference_mean","Time preference","Per 1-point increase in mean score (1-5)",-0.879761724650258,0.340679427405571,0.414881756000544,0.212783272210262,0.808930465605434,-2.58237408507477,0.00981231608268166,"0.010",3.0537368970146
"social_preference_mean","Social preference","Per 1-point increase in mean score (1-5)",1.73481800699386,0.419931434899308,5.66789619246827,2.48871750265902,12.9082739259369,4.13119348259757,0.0000360884664382237,"<0.001",1.83762556847352
"risk_preference_mean","Risk preference","Per 1-point increase in mean score (1-5)",0.120383724460254,0.194582771417291,1.12792958271964,0.770287467393045,1.65162383840906,0.618676173555397,0.536129709324121,"0.536",1.0866737432304
"age_group_trend","Age group","Per one-category increase (1-3)",0.844968717419087,0.505316565368273,2.32790499055495,0.86464734268907,6.26745885576543,1.67215716904764,0.0944933338505571,"0.094",1.22357881631435
"sex_fFemale","Female","Reference: male",0.194841524661967,0.591703058039648,1.21511840493045,0.381030765169913,3.87504861278668,0.329289365695506,0.741936981281042,"0.742",1.04315990389955
"insulin_fNo","No insulin therapy","Reference: insulin therapy",-1.39395362151426,0.621744489804256,0.248092499249053,0.0733472380780174,0.839157544257799,-2.24200398133504,0.0249611149923623,"0.025",1.12150932391962
