"section","variable","category","n","percent","n_percent"
"Continuous","Age, years","",232,,"60.53 ± 9.88"
"Categorical","Age group","<45 years",11,4.74137931034483,"11 (4.7)"
"Categorical","Age group","45-59 years",84,36.2068965517241,"84 (36.2)"
"Categorical","Age group",">=60 years",137,59.051724137931,"137 (59.1)"
"Categorical","Sex","Male",130,56.0344827586207,"130 (56.0)"
"Categorical","Sex","Female",102,43.9655172413793,"102 (44.0)"
"Categorical","Residence","Rural",52,22.4137931034483,"52 (22.4)"
"Categorical","Residence","Urban",180,77.5862068965517,"180 (77.6)"
"Categorical","Marital status","Unmarried",7,3.01724137931034,"7 (3.0)"
"Categorical","Marital status","Married",215,92.6724137931034,"215 (92.7)"
"Categorical","Marital status","Divorced",2,0.862068965517241,"2 (0.9)"
"Categorical","Marital status","Widowed",8,3.44827586206897,"8 (3.4)"
"Categorical","Education","Primary school or below",37,15.948275862069,"37 (15.9)"
"Categorical","Education","Junior high school",52,22.4137931034483,"52 (22.4)"
"Categorical","Education","High school/technical secondary school",87,37.5,"87 (37.5)"
"Categorical","Education","College or above",56,24.1379310344828,"56 (24.1)"
"Categorical","Personal monthly income, CNY","<3000",67,28.8793103448276,"67 (28.9)"
"Categorical","Personal monthly income, CNY","3000-4999",79,34.051724137931,"79 (34.1)"
"Categorical","Personal monthly income, CNY","5000-7999",48,20.6896551724138,"48 (20.7)"
"Categorical","Personal monthly income, CNY",">=8000",38,16.3793103448276,"38 (16.4)"
"Categorical","Occupation","Employed",36,15.5172413793103,"36 (15.5)"
"Categorical","Occupation","Retired",124,53.448275862069,"124 (53.4)"
"Categorical","Occupation","Self-employed",40,17.2413793103448,"40 (17.2)"
"Categorical","Occupation","Unemployed",32,13.7931034482759,"32 (13.8)"
"Categorical","Living arrangement","Living alone",17,7.32758620689655,"17 (7.3)"
"Categorical","Living arrangement","Living with spouse and children",145,62.5,"145 (62.5)"
"Categorical","Living arrangement","Living with spouse",62,26.7241379310345,"62 (26.7)"
"Categorical","Living arrangement","Living with children",8,3.44827586206897,"8 (3.4)"
"Categorical","Smoking status","Current smoker",57,24.5689655172414,"57 (24.6)"
"Categorical","Smoking status","Never smoker",152,65.5172413793103,"152 (65.5)"
"Categorical","Smoking status","Former smoker",23,9.91379310344828,"23 (9.9)"
"Categorical","Alcohol use","Current drinker",56,24.1379310344828,"56 (24.1)"
"Categorical","Alcohol use","Non-drinker",156,67.2413793103448,"156 (67.2)"
"Categorical","Alcohol use","Former drinker",20,8.62068965517241,"20 (8.6)"
"Categorical","Diabetes duration","<=5 years",64,27.5862068965517,"64 (27.6)"
"Categorical","Diabetes duration","6-10 years",60,25.8620689655172,"60 (25.9)"
"Categorical","Diabetes duration","11-15 years",57,24.5689655172414,"57 (24.6)"
"Categorical","Diabetes duration","16-20 years",19,8.18965517241379,"19 (8.2)"
"Categorical","Diabetes duration",">20 years",32,13.7931034482759,"32 (13.8)"
"Categorical","Insulin therapy","Yes",97,41.8103448275862,"97 (41.8)"
"Categorical","Insulin therapy","No",135,58.1896551724138,"135 (58.2)"
"Categorical","Any diabetes complication","No",116,50,"116 (50.0)"
"Categorical","Any diabetes complication","Yes",116,50,"116 (50.0)"
