"term","VIF","variable"
"representativeness_mean",1.93881815296382,"Representativeness bias"
"availability_mean",2.3553192315565,"Availability bias"
"overconfidence_mean",2.31191479747373,"Overconfidence"
"time_preference_mean",3.58729605373228,"Time preference"
"social_preference_mean",1.92249694067951,"Social preference"
"risk_preference_mean",1.12567340235048,"Risk preference"
"age_group_trend",2.59674457876488,"Age group"
"residence_fUrban",1.57477283595114,"Urban residence"
"smoking_fNever smoker",2.17736411361321,"Never smoker"
"smoking_fFormer smoker",1.42214093537203,"Former smoker"
"alcohol_fNon-drinker",2.2957134305798,"Non-drinker"
"alcohol_fFormer drinker",1.49724892639334,"Former drinker"
"occupation_fEmployed",2.47489963884036,"Employed"
"occupation_fSelf-employed",2.29198550290085,"Self-employed"
"occupation_fUnemployed",1.93000016587901,"Unemployed"
"living_fLiving with spouse and children",4.63650962216717,"Living with spouse and children"
"living_fLiving with spouse",4.59198599902921,"Living with spouse"
"living_fLiving with children",1.67053977888795,"Living with children"
"education_trend",1.82951947141246,"Education"
"income_trend",1.9929191770905,"Personal monthly income"
"insulin_fNo",1.18571749230513,"No insulin therapy"
"duration_trend",1.57716177638984,"Diabetes duration"
