"term","variable","category_or_unit","B","SE","standardized_beta","CI_lower","CI_upper","p_value","p_display","VIF"
"(Intercept)","Intercept","",45.7007955580877,3.8143426159141,,38.1812788657691,53.2203122504062,0.000000000000000000000000159963095937477,"<0.001",
"representativeness_mean","Representativeness bias","Per 1-point increase in mean score (1-5)",-0.742098658816525,0.401704353991791,-0.0843681664862149,-1.53401037189017,0.0498130542571158,0.0661061649661241,"0.066",1.93881815296382
"availability_mean","Availability bias","Per 1-point increase in mean score (1-5)",-0.9849591551687,0.442589813732072,-0.112020281750766,-1.85747162385026,-0.112446686487141,0.0271199008786172,"0.027",2.3553192315565
"overconfidence_mean","Overconfidence","Per 1-point increase in mean score (1-5)",-1.07110071278726,0.406375588941618,-0.131444849466739,-1.87222120250106,-0.269980223073472,0.00902496582815136,"0.009",2.31191479747373
"time_preference_mean","Time preference","Per 1-point increase in mean score (1-5)",-2.39529482091565,0.426074400780603,-0.349230453633471,-3.2352491437057,-1.55534049812559,0.0000000600492365311751,"<0.001",3.58729605373228
"social_preference_mean","Social preference","Per 1-point increase in mean score (1-5)",1.69004889369385,0.432129573339872,0.177857864512669,0.838157528084329,2.54194025930338,0.000124263522834697,"<0.001",1.92249694067951
"risk_preference_mean","Risk preference","Per 1-point increase in mean score (1-5)",-0.0823212929351006,0.195150023163998,-0.0146792795967171,-0.467036040521133,0.302393454650932,0.673578343249034,"0.674",1.12567340235048
"age_group_trend","Age group","Per one-category increase (1-3)",1.35967921578516,0.784567907832751,0.0915957874603674,-0.187001843905647,2.90636027547597,0.0845654307477375,"0.085",2.59674457876488
"residence_fUrban","Urban residence","Reference: rural residence",0.486833494029006,0.858030655012508,0.0233529402273191,-1.20467051664084,2.17833750469885,0.57106175239984,"0.571",1.57477283595114
"smoking_fNever smoker","Never smoker","Reference: current smoker",-0.464157549202942,0.885177801452628,-0.0253778834919815,-2.20917888680446,1.28086378839858,0.600579365303145,"0.601",2.17736411361321
"smoking_fFormer smoker","Former smoker","Reference: current smoker",0.376004902411792,1.13780026053114,0.0129256907717515,-1.86703116254274,2.61904096736632,0.741378515815748,"0.741",1.42214093537203
"alcohol_fNon-drinker","Non-drinker","Reference: current drinker",0.393052001356705,0.920495168613672,0.0212198495651626,-1.42159326850203,2.20769727121544,0.66981842766906,"0.670",2.2957134305798
"alcohol_fFormer drinker","Former drinker","Reference: current drinker",-1.38109638913707,1.243070751837,-0.0445892442540154,-3.831660538559,1.06946776028487,0.267829356308377,"0.268",1.49724892639334
"occupation_fEmployed","Employed","Reference: retired",-3.9852412082273,1.2388858175557,-0.165980508914458,-6.42755526415914,-1.54292715229546,0.0015023578090714,"0.002",2.47489963884036
"occupation_fSelf-employed","Self-employed","Reference: retired",-3.82852741348787,1.14276543095667,-0.166354887354128,-6.08135171344238,-1.57570311353337,0.000958004550057511,"<0.001",2.29198550290085
"occupation_fUnemployed","Unemployed","Reference: retired",-1.56865151800346,1.14873659733649,-0.0622213822173344,-3.83324725272063,0.695944216713704,0.173549671779755,"0.174",1.93000016587901
"living_fLiving with spouse and children","Living with spouse and children","Reference: living alone",2.02325535935149,1.26818825417677,0.112672393544597,-0.47682491830842,4.5233356370114,0.112135964406265,"0.112",4.63650962216717
"living_fLiving with spouse","Living with spouse","Reference: living alone",2.24123423594508,1.38073948128381,0.114085577927945,-0.480727219205632,4.96319569109579,0.106051217772827,"0.106",4.59198599902921
"living_fLiving with children","Living with children","Reference: living alone",0.916850488824017,2.01972006165351,0.0192437947847987,-3.06478415879524,4.89848513644328,0.65033636345914,"0.650",1.67053977888795
"education_trend","Education","Per one-category increase (1-4)",-0.0434216221618484,0.383295671825574,-0.00502568901514956,-0.799042837298853,0.712199592975156,0.909913407962067,"0.910",1.82951947141246
"income_trend","Personal monthly income","Per one-category increase (1-4)",1.28213402323741,0.385457109929243,0.154012926004871,0.522251793415427,2.04201625305939,0.00103969805970222,"0.001",1.9929191770905
"insulin_fNo","No insulin therapy","Reference: insulin therapy",-1.02246140202564,0.629462168039003,-0.058012671745454,-2.26337019191892,0.218447387867645,0.105810128952604,"0.106",1.18571749230513
"duration_trend","Diabetes duration","Per one-category increase (1-5)",-0.396288104308483,0.267578768014914,-0.0610031796662653,-0.923787391919278,0.131211183302312,0.140108624106616,"0.140",1.57716177638984
