"check","observed","expected_or_note","status"
"Final sample size","232","232","PASS"
"Number of columns","79","79","PASS"
"Duplicate study IDs","0","0","PASS"
"Duplicate rows","0","0","PASS"
"Missing cells","0","0","PASS"
"Minimum adherence total","21",">=20","PASS"
"Maximum adherence total","59","<=60","PASS"
"Events: adherence_total >=40","152","152","PASS"
"Non-events: adherence_total <40","80","80","PASS"
"Any complication: yes","116","116","PASS"
"Any complication: no","116","116","PASS"
"Framing category 0","112","112","PASS"
"Framing category 1","56","56","PASS"
"Framing category 2","64","64","PASS"
"Adherence total equals sum of 20 items","TRUE","TRUE","PASS"
"Medication subscale sum check","TRUE","TRUE","PASS"
"Diet subscale sum check","TRUE","TRUE","PASS"
"Exercise subscale sum check","TRUE","TRUE","PASS"
"Monitoring subscale sum check","TRUE","TRUE","PASS"
"Follow-up subscale sum check","TRUE","TRUE","PASS"
"Age-group derivation check","TRUE","TRUE","PASS"
"BE mean score derivation check","TRUE","TRUE","PASS"
"Complication-count discordance flags","19","Audit flag only","INFO"
"High-similarity QC flags","0","QC flag only","INFO"
